Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10µF,C_0603_Annotated,36.15,-69.8,180,bottom
C2,100nF,C_0603_Annotated,42.45,-82,270,bottom
C3,100nF,C_0603_Annotated,47.15,-72.6,0,bottom
C4,100nF,C_0603_Annotated,33.75,-72.9,180,bottom
C5,1µF,C_0603_Annotated,40.15,-69.2,90,bottom
D1,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,18.25625,-22.225,90,bottom
D2,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,42.06875,-22.225,90,bottom
D3,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,61.11875,-22.225,90,bottom
D4,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,80.16875,-22.225,90,bottom
D5,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,99.21875,-22.225,90,bottom
D6,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,123.03125,-22.225,90,bottom
D7,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,142.08125,-22.225,90,bottom
D8,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,161.13125,-22.225,90,bottom
D9,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,180.18125,-22.225,90,bottom
D10,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,203.99375,-22.225,90,bottom
D11,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,223.04375,-22.225,90,bottom
D12,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,242.09375,-22.225,90,bottom
D13,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,261.14375,-22.225,90,bottom
D14,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,18.25625,-46.0375,90,bottom
D15,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,37.30625,-46.0375,90,bottom
D16,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,56.35625,-46.0375,90,bottom
D17,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,75.40625,-46.0375,90,bottom
D18,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,94.45625,-46.0375,90,bottom
D19,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,113.50625,-46.0375,90,bottom
D20,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,132.55625,-46.0375,90,bottom
D21,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,151.60625,-46.0375,90,bottom
D22,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,170.65625,-46.0375,90,bottom
D23,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,189.70625,-46.0375,90,bottom
D24,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,208.75625,-46.0375,90,bottom
D25,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,227.80625,-46.0375,90,bottom
D26,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,246.85625,-46.0375,90,bottom
D27,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,265.90625,-46.0375,90,bottom
D28,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,304.00625,-46.0375,90,bottom
D29,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,23.01875,-65.0875,90,bottom
D30,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,46.83125,-65.0875,90,bottom
D31,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,65.88125,-65.0875,90,bottom
D32,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,84.93125,-65.0875,90,bottom
D33,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,103.98125,-65.0875,90,bottom
D34,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,123.03125,-65.0875,90,bottom
D35,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,142.08125,-65.0875,90,bottom
D36,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,161.13125,-65.0875,90,bottom
D37,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,180.18125,-65.0875,90,bottom
D38,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,199.23125,-65.0875,90,bottom
D39,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,218.28125,-65.0875,90,bottom
D40,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,237.33125,-65.0875,90,bottom
D41,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,256.38125,-65.0875,90,bottom
D42,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,280.19375,-65.0875,90,bottom
D43,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,304.00625,-65.0875,90,bottom
D44,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,20.6375,-84.1375,90,bottom
D45,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,51.59375,-84.1375,90,bottom
D46,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,70.64375,-84.1375,90,bottom
D47,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,89.69375,-84.1375,90,bottom
D48,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,108.74375,-84.1375,90,bottom
D49,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,127.79375,-84.1375,90,bottom
D50,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,146.84375,-84.1375,90,bottom
D51,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,165.89375,-84.1375,90,bottom
D52,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,184.94375,-84.1375,90,bottom
D53,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,203.99375,-84.1375,90,bottom
D54,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,223.04375,-84.1375,90,bottom
D55,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,242.09375,-84.1375,90,bottom
D56,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,273.05,-84.1375,90,bottom
D57,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,296.8625,-84.1375,90,bottom
D58,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,304.00625,-84.1375,90,bottom
D59,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,30.1625,-103.1875,90,bottom
D60,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,61.11875,-103.1875,90,bottom
D61,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,80.16875,-103.1875,90,bottom
D62,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,99.21875,-103.1875,90,bottom
D63,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,118.26875,-103.1875,90,bottom
D64,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,137.31875,-103.1875,90,bottom
D65,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,156.36875,-103.1875,90,bottom
D66,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,175.41875,-103.1875,90,bottom
D67,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,194.46875,-103.1875,90,bottom
D68,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,213.51875,-103.1875,90,bottom
D69,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,232.56875,-103.1875,90,bottom
D70,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,258.7625,-103.1875,90,bottom
D71,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,284.95625,-103.1875,90,bottom
D72,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,304.00625,-103.1875,90,bottom
D73,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,20.6375,-122.2375,90,bottom
D74,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,44.45,-122.2375,90,bottom
D75,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,68.2625,-122.2375,90,bottom
D76,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,139.7,-122.2375,90,bottom
D77,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,208.75625,-122.2375,90,bottom
